Title,Company,Location,Salary,Date Posted,Link
Software Engineer - Backend,zeotap,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=2060456884483d96&bb=qF6sIceJIympIihJikauhnbH8q_9YtwU9qvjNNN_0RKM4h-3NVZpycxQ5Ejw46S4UINWHnFTk1onJbinjTkiRMmZ2w65AAr8I2aZwda7RzDdS1tLZd7rb0hs0oayRJyJ&xkcb=SoAw67M32mfo71AdfL1tbzkdCdPP&fccid=be8bf9a14f9b0e19&vjs=3
Java Backend Intern,Twinleaves Retail Ecommerce India,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=73425ad70978e1a0&bb=qF6sIceJIympIihJikauhou1Es6CAi0TPI5yIsG3LAnpzP0bw1BDoUI8UZnuye2LVSElyT0PoEW0StkH6XgDyBHV7QSYwVpM85zeA8J8dflCLGxdOXACYz_nvslSZD0B&xkcb=SoCE67M32mfo71AdfL1sbzkdCdPP&fccid=db82b946884f4d82&vjs=3
"Senior , Backend Engineer",Schneider Electric,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=e8c3189d80684c35&bb=qF6sIceJIympIihJikauhm3n2zjhI_vyPIqIEzqgyvmib4GfJTrIMNCyb0Zf997ebcvbzV-czC95kt7QAcM1_WiISkVbS8KPtUU2xE_YJwLd6ep12S22HsjImf8_aaaA&xkcb=SoBt67M32mfo71AdfL1jbzkdCdPP&fccid=8dc4399ddb463d4a&vjs=3
Python Developer,PradeepIT Consulting Services,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=b532939d64d81003&bb=qF6sIceJIympIihJikauhgVUixuq2Ujvriy1opb6RIMzfsrZB8YE_w5_w9CLTm0o6XmjHRIY3I7aodTmuu0SZzAoU13TFrON7ulmnjuj1ft0ZFjZS2Sf-EnM6zDOCUp7&xkcb=SoDZ67M32mfo71AdfL1ibzkdCdPP&fccid=dfb8d6c78a6b14e7&vjs=3
Python Developer,L&T Technology Services Limited.,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=4903f99cb959dd57&bb=qF6sIceJIympIihJikauhqMs-6JfWtrTPzXxwpindva6E09-SolRuWj9Q7DwjF4YWdiupOzSkM1ynDcsWg_njFKevklOroWd9J0e_0WI6-lEPUbGXfnT-Rh5FpRH6kqt&xkcb=SoBE67M32mfo71AdfL1hbzkdCdPP&fccid=4ed03476a1620afb&vjs=3
Backend Engineer,Refrens.com,"Bengaluru, Karnataka",700.0,Not specified,https://www.indeed.com/rc/clk?jk=c564bf0299d204b2&bb=qF6sIceJIympIihJikauhqu9TWBWkNKgxKtc5x1YLIdH-dVMp6UzV8Z0p188zXSQkBIO8ICSC2dzMrOsacCzTUAIX83ZQuoqrLZ2iDSCc-T8LuALgA5ZSm6h7hsM5fka&xkcb=SoDw67M32mfo71AdfL1gbzkdCdPP&fccid=8dd7a75db6be9bdd&vjs=3
Python Developer,SmartQ Bottle Lab Technologies Pvt Ltd,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=246ecc5bc4c3f608&bb=qF6sIceJIympIihJikauhgIB-Cg7c6RKedu2LlvTaceOWQRhS8e95NqCpRsEgppcOTFSmy_ENt9XTEW-WWu0fVd6lWWRJo5mlfbJyk2S7EnaUTrFk0Yd4prTB8LgsKEF&xkcb=SoB-67M32mfo71AdfL1nbzkdCdPP&fccid=3fec14ddac1813a2&vjs=3
SQL Developer,Programming.com,"Bengaluru, Karnataka",50000.0,Not specified,https://www.indeed.com/rc/clk?jk=4ac5a924a3203e7f&bb=qF6sIceJIympIihJikauhimQ8Gv1crU8ESJmZ4ZaB7qy8Mq97c3YJn4WGOB9sU94_7Z8IXGf6eGcfQDlj5VQqJP7XjWyksN9Df0JsU__l7wQlzaYJcdgznhFM-X-niVy&xkcb=SoDK67M32mfo71AdfL1mbzkdCdPP&fccid=3f5a713222fd6ad1&cmp=Programming.com&ti=SQL+Developer&vjs=3
Backend Developer,ATS SHARE BROKERS PVT. LTD.,"Bellandur, Bengaluru, Karnataka",250.0,EmployerActive 6 days ago,https://www.indeed.com/rc/clk?jk=0cf23f5522ac640e&bb=qF6sIceJIympIihJikauhrjS_M2ZdO4WHooZ6Cj2hMqqhp3xJfyhr92hkH46_SQ1lXFQy83O7roHbCFCVlnF2GPjlc7h0H2QMjswiFkeTclWNgCf2k3bpra9WeOXWqjV&xkcb=SoBX67M32mfo71AdfL1lbzkdCdPP&fccid=e11f62fd0d750ca8&cmp=ATS-Share-Brokers-PVT.-LTD.&ti=Back+End+Developer&vjs=3
Java Developer (US Visa),Spectra Infosystems Inc,"Bengaluru, Karnataka",415.0,EmployerActive 5 days ago,https://www.indeed.com/rc/clk?jk=357195dd9539fffa&bb=qF6sIceJIympIihJikauhtWN-bVUtNpn3EmC1Rm2VIhfC6ky2QOnKtkuGw2-yy1nqNXBJajoTKVchKBsLJNk8X5V0eGV49kPys9o8b27KJa4ujYNyAA7s9kOXITs_vsP&xkcb=SoDj67M32mfo71AdfL1kbzkdCdPP&fccid=f4755fc3a7d16000&cmp=Spectra-Infosystems-Inc&ti=Java+Developer&vjs=3
